brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,Potencia,Capacidade_Motor,Numero_Cilindros,Numero_Valvulas,T2,Categoria_ET,Categoria_Marca,Categoria_Modelo,Categoria_IntCol,Categoria_ExtCol,condicao_do_veiculo,popularidade_modelo,popularidade_marca,eficiencia,Categoria_MarcaModelo,idade_carro,idade_quilometragem,km_por_ano,marca_modelo,cc
Lexus,NX 200t Base,2016,83400,Gasoline,235.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Brown,At least 1 accident or damage reported,Yes,22495,235.0,2.0,4.0,24.0,7.0,2,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,avg,3,131,117.5,3,7.999999999899956,667199.9999916563,10425.00000013037,Lexus NX 200t Base,13
Land,Rover Range Rover 5.0L Supercharged,2017,101800,Gasoline,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,36500,510.0,5.0,8.0,24.0,7.0,1,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,2,107,102.0,2,6.999999999899956,712599.9999898155,14542.85714306499,Land Rover Range Rover 5.0L Supercharged,7
Mercedes-Benz,C-Class C 300 4MATIC,2016,90189,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,17995,241.0,2.0,4.0,24.0,7.0,2,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,avg,8,251,120.5,3,7.999999999899956,721511.9999909771,11273.625000140984,Mercedes-Benz C-Class C 300 4MATIC,13
Jaguar,F-PACE S,2020,35580,Gasoline,3.0 Liter,Automatic,Eiger Grey Metallic,Ebony/Light Oyster Stitch,None reported,No,46998,311.0,3.0,6.0,24.0,7.0,3,Média Frequência Marca,Alta Frequência Modelo,Baixa Frequência int_col,Baixa Frequência ext_col,avg,2,37,103.66666666666669,5,3.999999999899956,142319.99999644043,8895.000000222473,Jaguar F-PACE S,8
Audi,S5 3.0 Premium Plus,2012,61450,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Gray,None reported,Yes,19500,333.0,3.0,6.0,24.0,7.0,3,Alta Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,1,146,111.0,6,11.999999999899956,737399.9999938522,5120.833333376026,Audi S5 3.0 Premium Plus,15
GMC,Yukon XL SLT,2016,183544,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,22000,355.0,5.3,8.0,24.0,6.0,1,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,avg,6,77,66.9811320754717,2,7.999999999899956,1468351.999981637,22943.00000028692,GMC Yukon XL SLT,4
Alfa,Romeo Giulia Ti,2023,9275,Gasoline,2.0L I4 16V GDI SOHC Turbo,8-Speed Automatic,Alfa White,Black,None reported,No,43900,311.0,2.0,4.0,16.0,8.0,2,Média Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,avg,5,16,155.5,3,0.9999999998999556,9274.999999072088,9275.000000927912,Alfa Romeo Giulia Ti,12
Porsche,Macan Base,2018,36798,Gasoline,2.0L I4 16V GDI DOHC Turbo,7-Speed Automatic with Auto-Shift,Volcano Grey Metallic,Black,At least 1 accident or damage reported,Yes,49500,311.0,2.0,4.0,16.0,7.0,2,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Baixa Frequência ext_col,avg,5,163,155.5,3,5.999999999899956,220787.99999631857,6133.000000102262,Porsche Macan Base,12
Porsche,Cayenne Turbo,2020,39611,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,Quartzite Grey Metallic,Black,None reported,No,89900,311.0,4.0,8.0,32.0,8.0,0,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Baixa Frequência ext_col,avg,4,163,77.75,5,3.999999999899956,158443.99999603714,9902.75000024768,Porsche Cayenne Turbo,10
Land,Rover Defender SE,2023,8421,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Black,White,None reported,Yes,90000,395.0,3.0,6.0,24.0,7.0,3,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,3,107,131.66666666666666,6,0.9999999998999556,8420.999999157526,8421.000000842474,Land Rover Defender SE,2
Jaguar,XJ8 L,2006,78049,Gasoline,300.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,13980,300.0,4.2,8.0,24.0,6.0,3,Média Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,2,37,71.42857142857143,5,17.999999999899956,1404881.9999921916,4336.055555579655,Jaguar XJ8 L,3
Lexus,ES 300h Base,2018,100868,Hybrid,200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,White,Beige,At least 1 accident or damage reported,Yes,23400,200.0,2.5,4.0,24.0,7.0,2,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,avg,2,131,80.0,3,5.999999999899956,605207.9999899088,16811.333333613646,Lexus ES 300h Base,13
Ford,Mustang Base,1998,63900,Gasoline,150.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,10300,150.0,3.8,6.0,24.0,7.0,3,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,2,311,39.47368421052632,5,25.99999999989996,1661399.9999936072,2457.6923077017645,Ford Mustang Base,11
Jeep,Wrangler Rubicon Hard Rock,2016,67882,Gasoline,3.6 Liter,Automatic,White,Black,None reported,No,32798,311.0,3.6,6.0,24.0,7.0,3,Alta Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,avg,1,108,86.38888888888889,5,7.999999999899956,543055.9999932088,8485.250000106113,Jeep Wrangler Rubicon Hard Rock,8
Porsche,911 Carrera 4S Cabriolet,2009,25500,Gasoline,385.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,79995,385.0,3.8,6.0,24.0,6.0,3,Alta Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,1,163,101.31578947368422,6,14.999999999899956,382499.9999974489,1700.0000000113384,Porsche 911 Carrera 4S Cabriolet,15
Hyundai,Genesis Coupe 3.8 R-Spec,2014,52060,Gasoline,348.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,At least 1 accident or damage reported,Yes,15000,348.0,3.8,6.0,24.0,6.0,3,Média Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,avg,1,52,91.57894736842104,5,9.999999999899956,520599.9999947917,5206.000000052083,Hyundai Genesis Coupe 3.8 R-Spec,20
Land,Rover Range Rover Velar SVAutobiography Dynamic Edition,2020,59355,Gasoline,V8,Automatic,Santorini Black,Ebony / Pimento,None reported,Yes,72995,311.0,3.5,8.0,24.0,7.0,3,Alta Frequência Marca,Alta Frequência Modelo,Baixa Frequência int_col,Baixa Frequência ext_col,bom,2,107,88.85714285714286,5,3.999999999899956,237419.99999406183,14838.750000371134,Land Rover Range Rover Velar SVAutobiography Dynamic Edition,15
Porsche,Macan S,2018,40950,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,39750,340.0,3.0,6.0,24.0,7.0,3,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,9,163,113.33333333333331,6,5.999999999899956,245699.9999959032,6825.0000001138005,Porsche Macan S,2
Audi,A6 3.0 TDI Premium Plus,2014,42400,Diesel,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,8-Speed A/T,Silver,Black,None reported,Yes,26500,240.0,3.0,6.0,24.0,8.0,0,Alta Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,1,146,80.0,5,9.999999999899956,423999.9999957581,4240.000000042419,Audi A6 3.0 TDI Premium Plus,15
Chevrolet,Camaro Base,2002,89000,Gasoline,200.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,10400,200.0,3.8,6.0,24.0,7.0,3,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,2,243,52.631578947368425,5,21.99999999989996,1957999.999991096,4045.454545472942,Chevrolet Camaro Base,11
Audi,Q5 S line Premium Plus,2023,6046,Hybrid,2.0 Liter TFSI,Automatic,Daytona Gray,Black,None reported,No,51598,311.0,2.0,6.0,24.0,7.0,3,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,avg,6,146,155.5,6,0.9999999998999556,6045.999999395131,6046.000000604869,Audi Q5 S line Premium Plus,1
Toyota,Avalon Hybrid XLE Premium,2015,161000,Hybrid,200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Blue,Gray,None reported,Yes,11500,200.0,2.5,4.0,24.0,7.0,2,Alta Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,1,144,80.0,3,8.999999999899956,1448999.9999838928,17888.888889087742,Toyota Avalon Hybrid XLE Premium,5
RAM,3500 Tradesman,2023,2990,Diesel,400.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,69900,400.0,6.7,6.0,24.0,7.0,1,Média Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,avg,2,74,59.70149253731344,2,0.9999999998999556,2989.999999700867,2990.000000299133,RAM 3500 Tradesman,4
Chevrolet,Malibu Limited LT,2016,104000,Gasoline,2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Gray,None reported,Yes,10500,311.0,2.5,4.0,24.0,6.0,2,Alta Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,1,243,124.4,3,7.999999999899956,831999.9999895954,13000.000000162572,Chevrolet Malibu Limited LT,22
Ford,Flex Limited,2009,162000,Gasoline,262.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,7500,262.0,3.5,6.0,24.0,6.0,3,Alta Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,avg,1,311,74.85714285714286,5,14.999999999899956,2429999.9999837927,10800.000000072032,Ford Flex Limited,9
BMW,X1 xDrive 28i,2017,49700,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,Yes,26000,228.0,2.0,4.0,24.0,8.0,2,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,2,304,114.0,3,6.999999999899956,347899.9999950278,7100.000000101473,BMW X1 xDrive 28i,22
Genesis,G90 5.0 Ultimate,2017,63500,Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,27500,420.0,5.0,8.0,24.0,7.0,1,Média Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,2,18,84.0,2,6.999999999899956,444499.9999936472,9071.42857155822,Genesis G90 5.0 Ultimate,16
Land,Rover Range Rover Sport HSE,2011,105000,Gasoline,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,10000,375.0,5.0,8.0,24.0,7.0,1,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,6,107,75.0,2,12.999999999899956,1364999.9999894954,8076.923076985235,Land Rover Range Rover Sport HSE,3
Cadillac,Escalade ESV Sport,2021,8044,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Beige,None reported,Yes,93000,420.0,6.2,8.0,24.0,7.0,1,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,3,92,67.74193548387096,2,2.999999999899956,24131.999999195243,2681.333333422751,Cadillac Escalade ESV Sport,16
Land,Rover Range Rover Sport Supercharged,2011,40000,Gasoline,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Brown,At least 1 accident or damage reported,Yes,20000,510.0,5.0,8.0,24.0,7.0,1,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,avg,4,107,102.0,2,12.999999999899956,519999.9999959982,3076.9230769467563,Land Rover Range Rover Sport Supercharged,4
McLaren,720S Performance,2020,9989,Gasoline,710.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,324995,710.0,4.0,8.0,24.0,7.0,1,Baixa Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,1,5,177.5,2,3.999999999899956,39955.999999000654,2497.250000062459,McLaren 720S Performance,7
Jeep,Grand Cherokee Laredo,2011,118000,Gasoline,360.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Gold,Black,At least 1 accident or damage reported,Yes,12500,360.0,5.7,8.0,24.0,7.0,1,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,avg,4,108,63.1578947368421,2,12.999999999899956,1533999.9999881948,9076.92307699293,Jeep Grand Cherokee Laredo,4
Ford,Explorer ST,2022,10500,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,No,50000,400.0,3.0,6.0,24.0,7.0,3,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,avg,2,311,133.33333333333334,6,1.999999999899956,20999.999998949534,5250.000000262617,Ford Explorer ST,1
Ford,F-250 Platinum,2021,48549,Diesel,6.7L V8 32V DDI OHV Turbo Diesel,Automatic,Antimatter Blue Metallic,Black,None reported,No,69998,311.0,6.7,8.0,32.0,7.0,1,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,avg,4,311,46.4179104477612,2,2.999999999899956,145646.99999514295,16183.000000539672,Ford F-250 Platinum,10
Mercedes-Benz,GLS 450 Base,2022,41545,Hybrid,3.0 Liter DOHC Twin Turbo,Automatic,MANUFAKTUR Diamond White Bright,Macchiato Beige/Black,None reported,No,71998,311.0,3.0,6.0,24.0,7.0,3,Alta Frequência Marca,Baixa Frequência Modelo,Baixa Frequência int_col,Baixa Frequência ext_col,avg,1,251,103.66666666666669,5,1.999999999899956,83089.99999584365,20772.500001039087,Mercedes-Benz GLS 450 Base,8
RAM,2500 Big Horn,2019,97000,Diesel,370.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,45000,370.0,6.7,6.0,24.0,7.0,1,Média Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,avg,7,74,55.223880597014926,2,4.999999999899956,484999.9999902957,19400.00000038817,RAM 2500 Big Horn,4
Hyundai,Equus Signature,2016,72000,Gasoline,429.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,None reported,Yes,21400,429.0,5.0,8.0,24.0,8.0,1,Média Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,3,52,85.8,2,7.999999999899956,575999.9999927968,9000.00000011255,Hyundai Equus Signature,16
Porsche,Cayman R,2012,54000,Gasoline,330.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Gray,None reported,Yes,75000,330.0,3.4,6.0,24.0,7.0,3,Alta Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,1,163,97.05882352941175,6,11.999999999899956,647999.9999945976,4500.000000037517,Porsche Cayman R,15
Lincoln,MKZ Base,2015,117292,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Beige,Beige,None reported,Yes,12000,240.0,2.0,4.0,24.0,7.0,2,Média Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,3,44,120.0,3,8.999999999899956,1055627.9999882656,13032.444444589311,Lincoln MKZ Base,22
Mercedes-Benz,S-Class S 560 4MATIC,2018,63160,Gasoline,463.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,47000,463.0,4.0,8.0,24.0,7.0,1,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,avg,5,251,115.75,2,5.999999999899956,378959.9999936812,10526.66666684219,Mercedes-Benz S-Class S 560 4MATIC,4
Nissan,Versa 1.6 SL,2015,85768,Gasoline,109.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,White,Black,At least 1 accident or damage reported,Yes,8250,109.0,1.6,4.0,24.0,7.0,2,Alta Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,avg,1,94,68.125,3,8.999999999899956,771911.9999914194,9529.777777883712,Nissan Versa 1.6 SL,13
Ford,Edge Sport,2011,132000,Gasoline,305.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,10999,305.0,3.7,6.0,24.0,7.0,3,Alta Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,avg,1,311,82.43243243243244,5,12.999999999899956,1715999.999986794,10153.846153924294,Ford Edge Sport,9
Chevrolet,Silverado 2500 LT H/D Extended Cab,2006,169000,Diesel,360.0HP 6.6L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,White,Gray,None reported,Yes,19500,360.0,6.6,8.0,24.0,6.0,1,Alta Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,1,243,54.54545454545455,2,17.999999999899956,3041999.9999830923,9388.888888941072,Chevrolet Silverado 2500 LT H/D Extended Cab,3
BMW,X3 xDrive30i,2021,38352,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Phytonic Blue Metallic,Canberra Beige,None reported,No,37400,311.0,2.0,4.0,16.0,8.0,2,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,avg,7,304,155.5,3,2.999999999899956,115055.9999961631,12784.000000426322,BMW X3 xDrive30i,12
Chevrolet,Cruze LS,2011,135603,Gasoline,136.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,7000,136.0,1.8,4.0,24.0,7.0,2,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,2,243,75.55555555555556,3,12.999999999899956,1762838.9999864337,10431.000000080274,Chevrolet Cruze LS,5
RAM,2500 SLT,2018,67865,Gasoline,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Gray,None reported,Yes,36500,410.0,6.4,8.0,24.0,6.0,1,Média Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,4,74,64.0625,2,5.999999999899956,407189.9999932105,11310.83333352193,RAM 2500 SLT,16
Toyota,Tundra SR,2018,51000,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,38000,381.0,5.7,8.0,24.0,7.0,1,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,2,144,66.84210526315789,2,5.999999999899956,305999.9999948977,8500.00000014173,Toyota Tundra SR,16
Hyundai,Genesis Coupe 3.8 Grand Touring,2013,60000,Gasoline,344.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,16500,344.0,3.8,6.0,24.0,7.0,3,Média Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,1,52,90.52631578947368,5,10.999999999899956,659999.9999939974,5454.545454595063,Hyundai Genesis Coupe 3.8 Grand Touring,15
Ford,Explorer Eddie Bauer,2010,144200,Gasoline,210.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,Beige,None reported,Yes,9999,210.0,4.0,6.0,24.0,5.0,3,Alta Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,1,311,52.5,5,13.999999999899956,2018799.9999855736,10300.000000073604,Ford Explorer Eddie Bauer,11
Ford,Excursion Limited,2001,109357,Gasoline,310.0HP 6.8L 10 Cylinder Engine Gasoline Fuel,A/T,Green,Beige,None reported,Yes,12749,310.0,6.8,10.0,24.0,7.0,1,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,6,311,45.588235294117645,2,22.99999999989996,2515210.9999890598,4754.652173933725,Ford Excursion Limited,3
Saturn,Sky Base,2008,15020,Gasoline,173.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Red,None reported,Yes,18500,173.0,2.4,4.0,24.0,7.0,2,Baixa Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,1,5,72.08333333333334,3,15.999999999899956,240319.9999984973,938.7500000058698,Saturn Sky Base,5
GMC,Sierra 1500 SLT,2021,23400,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,52000,420.0,6.2,8.0,24.0,7.0,1,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,7,77,67.74193548387096,2,2.999999999899956,70199.99999765896,7800.0000002601155,GMC Sierra 1500 SLT,16
Acura,ILX Premium Package,2018,32260,Gasoline,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,20999,201.0,2.4,4.0,24.0,7.0,2,Média Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,3,52,83.75,3,5.999999999899956,193559.99999677256,5376.666666756318,Acura ILX Premium Package,22
Lexus,IS 300 Base,2018,16000,Gasoline,260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Brown,At least 1 accident or damage reported,Yes,30500,260.0,3.5,6.0,24.0,6.0,3,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,avg,3,131,74.28571428571429,5,5.999999999899956,95999.99999839927,2666.666666711131,Lexus IS 300 Base,20
Saab,9-3 Aero,2009,106000,Gasoline,280.0HP 2.8L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Black,None reported,Yes,12950,280.0,2.8,6.0,24.0,6.0,3,Baixa Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,1,2,100.0,5,14.999999999899956,1589999.9999893953,7066.666666713799,Saab 9-3 Aero,11
Bentley,Continental GT V8,2022,10972,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic with Auto-Shift,Red,Black,None reported,Yes,217950,311.0,4.0,8.0,32.0,8.0,0,Média Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,3,28,77.75,5,1.999999999899956,21943.999998902316,5486.000000274422,Bentley Continental GT V8,10
Mercedes-Benz,CLK-Class CLK 350,2009,77925,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,16500,268.0,3.5,6.0,24.0,7.0,3,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,4,251,76.57142857142857,5,14.999999999899956,1168874.999992204,5195.000000034649,Mercedes-Benz CLK-Class CLK 350,11
MINI,Countryman Cooper S ALL4,2018,12370,Gasoline,189.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,Yes,28900,189.0,2.0,4.0,24.0,8.0,2,Média Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,3,27,94.5,3,5.999999999899956,74219.99999876245,2061.666666701043,MINI Countryman Cooper S ALL4,22
Chevrolet,Corvette Base,2007,28514,Gasoline,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Gray,None reported,Yes,32000,400.0,6.0,8.0,24.0,7.0,1,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,20,243,66.66666666666667,2,16.999999999899956,484737.99999714736,1677.2941176569295,Chevrolet Corvette Base,3
RAM,2500 SLT,2014,84500,Gasoline,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,34000,410.0,6.4,8.0,24.0,7.0,1,Média Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,4,74,64.0625,2,9.999999999899956,844999.9999915463,8450.000000084538,RAM 2500 SLT,16
GMC,Sierra 2500 AT4,2022,31681,Gasoline,6.6L V8 16V GDI OHV,Automatic,Cayenne Red Tintcoat,Jet Black,At least 1 accident or damage reported,No,67963,311.0,6.6,8.0,16.0,7.0,1,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Baixa Frequência ext_col,mau,2,77,47.121212121212125,2,1.999999999899956,63361.99999683049,15840.500000792375,GMC Sierra 2500 AT4,17
Mercedes-Benz,C-Class C 300 4MATIC Sport,2013,157405,Gasoline,248.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,10750,248.0,3.5,6.0,24.0,7.0,3,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,4,251,70.85714285714286,5,10.999999999899956,1731454.9999842525,14309.5454546756,Mercedes-Benz C-Class C 300 4MATIC Sport,11
BMW,M550 i xDrive,2019,7580,Gasoline,456.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,51500,456.0,4.4,8.0,24.0,7.0,1,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,3,304,103.63636363636364,2,4.999999999899956,37899.99999924166,1516.0000000303337,BMW M550 i xDrive,7
Rivian,R1S Adventure Package,2023,542,Elétrico,835.0HP Electric Motor Electric Fuel System,A/T,Black,Black,None reported,Yes,92500,835.0,3.5,6.0,24.0,7.0,1,Média Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,10,14,238.57142857142856,2,0.9999999998999556,541.9999999457759,542.0000000542241,Rivian R1S Adventure Package,21
Audi,S4 3.0 Prestige,2012,98400,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,White,None reported,Yes,18000,333.0,3.0,6.0,24.0,7.0,3,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col,bom,2,146,111.0,6,11.999999999899956,1180799.9999901557,8200.000000068363,Audi S4 3.0 Prestige,15
