brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,Potencia,Capacidade_Motor,Numero_Cilindros,Numero_Valvulas,T2,Categoria_ET,Categoria_Marca,Categoria_Modelo,Categoria_IntCol,Categoria_ExtCol,Categoria_MarcaModelo,condicao_do_veiculo,popularidade_modelo,popularidade_marca,eficiencia,idade_carro,idade_quilometragem,km_por_ano,cc
Maserati,Ghibli S Q4,2014,76000,Gasoline,404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,19000,404.0,3.0,6.0,24.0,7.0,3,3,4,14,1,6,bom,6,28,134.66666666666666,9.999999999899956,759999.9999923967,7600.000000076034,2
Volkswagen,Passat 2.5 SE,2012,159870,Gasoline,170.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,9750,170.0,2.5,5.0,24.0,7.0,2,0,0,0,0,0,avg,1,42,68.0,11.999999999899956,1918439.999984006,13322.50000011107,1
Cadillac,DTS Luxury,2007,130000,Gasoline,275.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,At least 1 accident or damage reported,Yes,3499,275.0,4.6,8.0,24.0,7.0,1,1,5,16,2,1,avg,1,77,59.78260869565218,16.999999999899956,2209999.999986994,7647.058823574414,0
Lexus,RX 300 Base,2002,121000,Gasoline,220.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,6348,220.0,3.0,6.0,24.0,7.0,3,0,4,12,9,1,bom,1,125,73.33333333333333,21.999999999899956,2661999.9999878947,5500.000000025011,0
Audi,Q8 3.0T Prestige,2019,38360,Gasoline,3.0L V6 24V GDI DOHC Turbo,8-Speed Automatic,Orca Black Metallic,Black,None reported,No,49936,311.0,3.0,6.0,24.0,8.0,0,3,4,10,9,6,avg,2,139,103.66666666666667,4.999999999899956,191799.9999961623,7672.000000153508,2
Cadillac,Escalade Sport,2023,3000,Diesel,277.0HP 3.0L Straight 6 Cylinder Engine Diesel Fuel,A/T,White,Brown,None reported,Yes,123999,277.0,3.0,6.0,24.0,7.0,3,3,4,1,9,1,bom,1,77,92.33333333333333,0.9999999998999556,2999.9999996998667,3000.0000003001333,2
Mercedes-Benz,E-Class E 350 4MATIC,2008,91900,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,Black,None reported,Yes,8900,268.0,3.5,6.0,24.0,5.0,3,2,2,4,5,4,bom,12,194,76.57142857142857,15.999999999899956,1470399.999990806,5743.750000035914,1
Ford,Fusion Hybrid Base,2011,223824,Hybrid,156.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,A/T,White,Brown,At least 1 accident or damage reported,Yes,4500,156.0,2.5,4.0,24.0,7.0,2,0,0,0,0,0,avg,2,224,62.4,12.999999999899956,2909711.9999776077,17217.23076936327,0
Ford,Ranger XLT,1999,115402,E85 Flex Fuel,152.0HP 3.0L V6 Cylinder Engine Flex Fuel Capability,A/T,Gold,Beige,None reported,Yes,8000,152.0,3.0,6.0,24.0,7.0,3,0,4,3,9,1,bom,1,224,50.666666666666664,24.999999999899956,2885049.999988455,4616.080000018473,0
Honda,S2000 Base,2002,110500,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Yellow,Red,None reported,Yes,27000,240.0,2.0,4.0,24.0,6.0,2,0,0,2,7,0,bom,4,48,120.0,21.999999999899956,2430999.999988945,5022.727272750113,1
Acura,ILX Premium Package,2019,37900,Gasoline,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,26000,201.0,2.4,4.0,24.0,7.0,2,0,0,13,0,0,bom,3,37,83.75,4.999999999899956,189499.99999620832,7580.000000151667,1
Tesla,Model Y Performance,2020,27500,Elétrico,455.0HP Electric Motor Electric Fuel System,A/T,Gray,White,None reported,Yes,44000,455.0,3.5,6.0,24.0,7.0,3,3,3,14,1,6,bom,4,47,130.0,3.9999999998999556,109999.99999724879,6875.000000171952,2
Jaguar,F-TYPE V6 S,2014,62194,Gasoline,3.0 Liter SC ULEV,Automatic,Black,Black,None reported,No,32998,311.0,3.0,6.0,24.0,7.0,3,3,4,12,9,1,avg,1,36,103.66666666666667,9.999999999899956,621939.9999937778,6219.400000062222,2
RAM,1500 Big Horn,2021,70968,Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,34000,395.0,5.7,8.0,24.0,8.0,1,1,5,16,4,2,bom,9,74,69.29824561403508,2.9999999998999556,212903.99999290006,23656.000000788885,3
Saturn,Sky Red Line,2008,94291,Gasoline,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,14500,260.0,2.0,4.0,24.0,7.0,2,0,0,17,0,0,bom,3,5,130.0,15.999999999899956,1508655.9999905666,5893.187500036849,1
Volvo,XC90 Hybrid T8 Inscription,2020,44487,Plug-In Hybrid,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,8-Speed A/T,Blue,Brown,None reported,Yes,65000,400.0,2.0,4.0,24.0,8.0,2,3,3,14,1,6,bom,1,26,200.0,3.9999999998999556,177947.99999554933,11121.750000278167,2
Audi,A3 2.0T Premium,2019,28211,Gasoline,184.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,27500,184.0,2.0,4.0,24.0,7.0,2,0,0,13,0,0,avg,4,139,92.0,4.999999999899956,141054.99999717766,5642.2000001128945,1
Toyota,Sequoia Limited,2017,67000,E85 Flex Fuel,381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Silver,Gray,None reported,Yes,37999,381.0,5.7,8.0,24.0,6.0,1,1,5,6,2,4,bom,5,131,66.84210526315789,6.999999999899956,468999.99999329704,9571.428571565368,3
Land,Rover Defender X-Dynamic SE,2023,6204,Hybrid,3.0 Liter,Automatic,Eiger Grey,Black,None reported,No,79998,311.0,3.0,6.0,24.0,7.0,3,3,4,12,9,1,avg,2,102,103.66666666666667,0.9999999998999556,6203.999999379324,6204.000000620676,2
Toyota,Highlander XLE,2018,61454,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,None reported,Yes,31000,295.0,3.5,6.0,24.0,7.0,3,3,4,1,9,1,bom,8,131,84.28571428571429,5.999999999899956,368723.9999938519,10242.333333504115,1
Chevrolet,Silverado 1500 LT,2017,58816,Gasoline,5.3L V8 16V GDI OHV,6-Speed Electronically Controlled Automatic with O,Black,Jet Black,None reported,No,36590,311.0,5.3,8.0,16.0,6.0,1,1,5,9,2,3,avg,4,190,58.67924528301887,6.999999999899956,411711.9999941158,8402.2857144058,3
Subaru,Crosstrek 2.0i Limited,2018,74600,Gasoline,152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,None reported,Yes,24000,152.0,2.0,4.0,24.0,7.0,2,0,0,13,0,0,bom,2,47,76.0,5.999999999899956,447599.9999925367,12433.333333540648,1
Mercedes-Benz,SL-Class SL 550,2015,11249,Gasoline,429.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,None reported,Yes,54500,429.0,4.7,8.0,24.0,7.0,1,1,5,8,4,2,bom,9,194,91.27659574468085,8.999999999899956,101240.9999988746,1249.8888889027828,3
Dodge,Challenger SRT Hellcat,2020,12700,Gasoline,717.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,69900,717.0,6.2,8.0,24.0,8.0,1,1,3,5,6,2,avg,4,65,115.64516129032258,3.9999999998999556,50799.999998729436,3175.0000000794103,3
Honda,Civic LX,2015,51300,Gasoline,143.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,Black,None reported,Yes,17500,143.0,1.8,4.0,24.0,5.0,2,2,2,2,7,0,bom,3,48,79.44444444444444,8.999999999899956,461699.9999948677,5700.000000063362,1
BMW,X5 xDrive35i,2018,48000,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,32000,300.0,3.0,6.0,24.0,8.0,0,3,4,10,9,6,bom,9,297,100.0,5.999999999899956,287999.99999519787,8000.000000133393,2
Volvo,850 Turbo,1995,94000,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,4500,311.0,3.5,6.0,24.0,7.0,3,3,4,12,9,1,bom,1,26,88.85714285714286,28.999999999899956,2725999.999990596,3241.3793103560097,0
GMC,Sierra 1500 SLE Crew Cab,2006,167500,Gasoline,295.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,14500,295.0,5.3,8.0,24.0,7.0,1,1,5,16,2,2,bom,1,55,55.66037735849057,17.999999999899956,3014999.9999832427,9305.555555607276,0
Ford,F-250 Lariat,2017,128000,Diesel,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Gray,Black,None reported,Yes,50000,440.0,6.7,8.0,24.0,6.0,1,1,5,6,2,4,bom,11,224,65.67164179104478,6.999999999899956,895999.9999871943,18285.714285975628,3
Audi,Q5 40 Premium,2022,14550,Hybrid,201.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid,7-Speed A/T,Silver,Brown,None reported,Yes,41500,201.0,2.0,4.0,24.0,7.0,2,0,0,0,0,0,bom,1,139,100.5,1.9999999998999556,29099.999998544354,7275.000000363912,2
Genesis,G70 2.0T,2023,2121,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Red,None reported,Yes,40750,252.0,2.0,4.0,24.0,8.0,2,0,0,17,0,0,bom,3,18,126.0,0.9999999998999556,2120.999999787806,2121.000000212194,2
Tesla,Model S Plaid,2021,20100,Elétrico,1020.0HP Electric Motor Electric Fuel System,A/T,Red,Black,None reported,Yes,69995,1020.0,3.5,6.0,24.0,7.0,1,3,3,5,6,2,bom,1,47,291.42857142857144,2.9999999998999556,60299.99999798911,6700.000000223433,2
Kia,K5 GT-Line,2022,22101,Gasoline,1.6L I4 16V GDI DOHC Turbo,8-Speed Automatic,Glacial White Pearl,Black,At least 1 accident or damage reported,Yes,29430,311.0,1.6,4.0,16.0,8.0,2,3,1,7,3,3,avg,3,61,194.375,1.9999999998999556,44201.99999778892,11050.50000055277,2
Subaru,WRX Base,2015,102000,Gasoline,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,White,Black,At least 1 accident or damage reported,Yes,18000,268.0,2.0,4.0,24.0,7.0,2,0,0,17,0,0,avg,2,47,134.0,8.999999999899956,917999.9999897955,11333.333333459315,1
Lexus,ES 350 Base,2008,146000,Gasoline,272.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Beige,None reported,Yes,8995,272.0,3.5,6.0,24.0,7.0,3,3,4,1,9,1,bom,11,125,77.71428571428571,15.999999999899956,2335999.9999853936,9125.000000057056,0
Audi,Q8 3.0T Prestige,2019,54900,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Gold,Black,At least 1 accident or damage reported,Yes,48500,335.0,3.0,6.0,24.0,7.0,3,3,4,12,1,1,avg,2,139,111.66666666666667,4.999999999899956,274499.9999945076,10980.000000219698,2
Land,Rover Range Rover Velar P250 SE R-Dynamic,2018,65680,Gasoline,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,At least 1 accident or damage reported,Yes,34900,247.0,2.0,4.0,24.0,7.0,2,0,0,17,0,0,avg,2,102,123.5,5.999999999899956,394079.99999342905,10946.666666849193,1
Chrysler,300 S,2012,53000,Gasoline,292.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,13750,292.0,3.6,6.0,24.0,7.0,3,3,4,12,9,1,avg,3,22,81.11111111111111,11.999999999899956,635999.9999946976,4416.666666703489,1
Lincoln,Nautilus Reserve,2021,19700,Gasoline,335.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,48000,335.0,2.7,6.0,24.0,7.0,3,3,4,1,1,1,bom,4,34,124.07407407407406,2.9999999998999556,59099.999998029125,6566.666666885652,2
Land,Rover Defender V8,2022,3000,Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,96500,518.0,5.0,8.0,24.0,8.0,1,1,3,8,4,2,bom,1,102,103.6,1.9999999998999556,5999.999999699867,1500.0000000750333,3
Porsche,Cayman S,2014,33088,Gasoline,325.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,49750,325.0,3.4,6.0,24.0,7.0,3,3,4,12,9,1,bom,3,159,95.58823529411765,9.999999999899956,330879.99999668973,3308.8000000331026,2
Jeep,Grand Cherokee Laredo,2013,106700,E85 Flex Fuel,290.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,None reported,Yes,13500,290.0,3.6,6.0,24.0,6.0,3,2,2,4,5,1,bom,4,99,80.55555555555556,10.999999999899956,1173699.9999893252,9700.000000088221,1
Acura,MDX Sport,2007,183455,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,7700,300.0,3.7,6.0,24.0,5.0,3,2,2,4,5,4,avg,1,37,81.08108108108108,16.999999999899956,3118734.9999816464,10791.470588298802,0
Nissan,300ZX Base,1993,168000,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,5-Speed M/T,White,Black,None reported,Yes,7000,311.0,3.5,6.0,24.0,5.0,3,2,2,4,5,4,bom,1,84,88.85714285714286,30.999999999899956,5207999.999983192,5419.354838727167,0
Nissan,Rogue Sport S,2021,24000,Gasoline,141.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,25500,141.0,2.0,4.0,24.0,7.0,2,0,0,13,0,0,bom,1,84,70.5,2.9999999998999556,71999.99999759893,8000.000000266785,1
Acura,Integra w/A-Spec Tech Package,2023,3574,Gasoline,1.5 Liter Turbo,Variable,Apex Blue,Orchid,None reported,No,34998,311.0,1.5,6.0,24.0,7.0,3,3,0,14,1,1,avg,1,37,207.33333333333334,0.9999999998999556,3573.9999996424413,3574.0000003575587,2
Audi,A3 2.0T Tech Premium,2018,39600,Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,26999,220.0,2.0,4.0,24.0,7.0,2,0,0,17,0,0,bom,2,139,110.0,5.999999999899956,237599.99999603824,6600.000000110049,1
Toyota,Tundra SR5,2021,33455,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Green,Black,None reported,Yes,44750,381.0,5.7,8.0,24.0,6.0,1,1,5,6,2,4,bom,4,131,66.84210526315789,2.9999999998999556,100364.99999665302,11151.666667038555,3
Ford,Transit-350 XLT,2021,48000,E85 Flex Fuel,275.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,A/T,White,Gray,None reported,Yes,57000,275.0,3.5,6.0,24.0,7.0,3,3,4,3,9,1,bom,3,224,78.57142857142857,2.9999999998999556,143999.99999519787,16000.00000053357,2
Audi,allroad 2.7T,2005,153000,Gasoline,250.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,M/T,Blue,Blue,At least 1 accident or damage reported,Yes,6500,250.0,2.7,6.0,24.0,7.0,3,0,4,1,9,1,avg,1,139,92.59259259259258,18.999999999899956,2906999.9999846932,8052.63157898977,0
BMW,X2 xDrive28i,2018,66690,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,24900,228.0,2.0,4.0,24.0,7.0,2,0,0,17,0,0,avg,2,297,114.0,5.999999999899956,400139.99999332806,11115.000000185333,1
Ford,Explorer XLT,2013,149000,Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Brown,Beige,At least 1 accident or damage reported,Yes,7850,290.0,3.5,6.0,24.0,7.0,3,3,4,1,9,1,avg,6,224,82.85714285714286,10.999999999899956,1638999.9999850935,13545.45454557774,0
Mercedes-Benz,GLC 300 GLC 300,2021,12771,Gasoline,2.0 Liter Turbo,Automatic,Black,Black,None reported,No,42598,311.0,2.0,6.0,24.0,7.0,3,3,4,14,1,1,avg,4,194,155.5,2.9999999998999556,38312.999998722335,4257.000000141963,2
FIAT,500 Lounge,2013,85458,Gasoline,101.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,9000,101.0,1.4,4.0,24.0,7.0,2,0,0,0,0,0,bom,1,4,72.14285714285715,10.999999999899956,940037.9999914505,7768.909090979749,1
Mercedes-Benz,SL-Class SL 63 AMG,2011,47400,Gasoline,518.0HP 6.3L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,41000,518.0,6.3,8.0,24.0,7.0,1,1,5,8,4,2,avg,1,194,82.22222222222223,12.999999999899956,616199.9999952579,3646.153846181906,3
Kia,Optima LX,2011,100331,Gasoline,200.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Black,At least 1 accident or damage reported,Yes,6900,200.0,2.4,4.0,24.0,7.0,2,0,0,13,0,0,avg,1,61,83.33333333333334,12.999999999899956,1304302.9999899624,7717.769230828625,1
BMW,X3 xDrive30i,2020,23647,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Black Sapphire Metallic,Canberra Beige,None reported,Yes,37998,311.0,2.0,4.0,16.0,8.0,2,3,1,7,3,3,bom,7,297,155.5,3.9999999998999556,94587.99999763425,5911.750000147859,2
Mercedes-Benz,Sprinter 2500,2016,399000,Diesel,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,5-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,24500,188.0,3.0,6.0,24.0,5.0,3,2,2,4,5,1,avg,4,194,62.666666666666664,7.999999999899956,3191999.999960082,49875.00000062372,0
Lexus,RX 330 Base,2006,110250,Gasoline,230.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,11000,230.0,3.3,6.0,24.0,7.0,3,0,4,3,9,1,bom,2,125,69.6969696969697,17.999999999899956,1984499.99998897,6125.000000034043,0
Ford,Mustang Mach-E Premium,2021,17850,Elétrico,266.0HP Electric Motor Electric Fuel System,A/T,Red,Black,None reported,Yes,41999,266.0,3.5,6.0,24.0,7.0,3,3,4,12,9,1,bom,1,224,76.0,2.9999999998999556,53549.9999982142,5950.000000198422,2
Porsche,911 Turbo,2018,28470,Gasoline,540.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,At least 1 accident or damage reported,Yes,147500,540.0,3.8,6.0,24.0,7.0,1,3,3,5,6,6,avg,5,159,142.10526315789474,5.999999999899956,170819.99999715172,4745.000000079119,2
BMW,X6 xDrive35i,2009,92008,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,12500,300.0,3.0,6.0,24.0,6.0,3,2,2,4,5,1,bom,2,297,100.0,14.999999999899956,1380119.999990795,6133.866666707578,1
Audi,RS Q8 4.0T,2020,41856,Gasoline,591.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,91500,591.0,4.0,8.0,24.0,7.0,1,3,3,5,6,2,bom,1,139,147.75,3.9999999998999556,167423.99999581254,10464.000000261716,3
Land,Rover Range Rover HSE SWB,2020,16000,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Silver,Black,None reported,Yes,75500,395.0,3.0,6.0,24.0,7.0,3,3,4,14,1,6,bom,2,102,131.66666666666666,3.9999999998999556,63999.99999839929,4000.0000001000444,2
Kia,Telluride SX,2020,69185,Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,Ebony Black,Gray,None reported,No,37405,311.0,3.8,6.0,24.0,8.0,0,3,4,10,9,6,avg,7,61,81.8421052631579,3.9999999998999556,276739.9999930784,17296.2500004326,2
Audi,A5 2.0T Premium Plus,2012,77000,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,13800,211.0,2.0,4.0,24.0,8.0,2,0,0,17,0,0,bom,4,139,105.5,11.999999999899956,923999.9999922966,6416.6666667201625,1
RAM,1500 Big Horn,2022,14920,Gasoline,3.6L V6 24V MPFI DOHC,Automatic,Diamond Black,Black,None reported,Yes,41741,311.0,3.6,6.0,24.0,7.0,3,3,4,12,9,1,bom,9,74,86.38888888888889,1.9999999998999556,29839.999998507337,7460.000000373166,2
Jeep,Wrangler Unlimited Sport,2018,58500,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,35000,285.0,3.6,6.0,24.0,8.0,0,3,4,10,9,6,bom,10,99,79.16666666666667,5.999999999899956,350999.9999941474,9750.000000162572,2
BMW,X7 xDrive40i,2020,45241,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Blue,Brown,None reported,Yes,54500,335.0,3.0,6.0,24.0,7.0,3,3,4,1,1,1,bom,9,297,111.66666666666667,3.9999999998999556,180963.9999954739,11310.250000282882,2
Mercedes-Benz,GLC 300 Base,2020,42717,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,None reported,Yes,33500,255.0,2.0,4.0,24.0,7.0,2,0,0,17,0,0,bom,1,194,127.5,3.9999999998999556,170867.9999957264,10679.2500002671,2
Nissan,Pathfinder S,2014,135000,Gasoline,260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Brown,None reported,Yes,8500,260.0,3.5,6.0,24.0,7.0,3,3,4,3,9,1,bom,2,84,74.28571428571429,9.999999999899956,1349999.999986494,13500.00000013506,1
BMW,M550 i xDrive,2018,14993,Gasoline,456.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,44900,456.0,4.4,8.0,24.0,8.0,1,1,3,8,4,2,bom,3,297,103.63636363636363,5.999999999899956,89957.99999850003,2498.8333333749993,3
Jeep,Wrangler Sahara,2020,22138,Gasoline,3.6 Liter,Automatic,Black,Black,None reported,No,38598,311.0,3.6,6.0,24.0,7.0,3,3,4,12,9,1,avg,4,99,86.38888888888889,3.9999999998999556,88551.99999778521,5534.500000138424,2
BMW,Z4 sDrive28i,2015,57550,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,White,None reported,Yes,29995,240.0,2.0,4.0,24.0,6.0,2,0,0,2,7,0,bom,4,297,120.0,8.999999999899956,517949.99999424245,6394.444444515525,1
Nissan,GT-R Premium,2017,31150,Gasoline,565.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Orange,Black,None reported,Yes,113000,565.0,3.8,6.0,24.0,7.0,1,3,3,5,6,6,bom,7,84,148.6842105263158,6.999999999899956,218049.99999688362,4450.0000000636,2
Audi,A7 Premium,2012,54000,Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Brown,At least 1 accident or damage reported,Yes,36880,310.0,3.0,6.0,24.0,8.0,0,3,4,10,9,6,avg,2,139,103.33333333333333,11.999999999899956,647999.9999945976,4500.000000037517,2
Hummer,H3 Base,2006,118000,Gasoline,220.0HP 3.5L 5 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,17900,220.0,3.5,5.0,24.0,7.0,3,0,4,3,9,1,bom,3,7,62.857142857142854,17.999999999899956,2123999.9999881946,6555.555555591992,0
Toyota,Avalon Limited,2006,89987,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Green,Beige,None reported,Yes,9499,268.0,3.5,6.0,24.0,5.0,3,2,2,4,5,4,bom,3,131,76.57142857142857,17.999999999899956,1619765.9999909974,4999.277777805564,0
BMW,Z4 2.5i,2004,94500,Gasoline,184.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Gray,Black,None reported,Yes,9000,184.0,2.5,6.0,24.0,5.0,3,2,2,4,5,1,bom,1,297,73.6,19.999999999899956,1889999.999990546,4725.000000023636,0
Acura,TLX A-Spec,2020,32500,Gasoline,206.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,White,Red,None reported,Yes,32000,206.0,2.4,4.0,24.0,7.0,2,0,0,0,0,0,bom,1,37,85.83333333333334,3.9999999998999556,129999.99999674855,8125.000000203216,1
Toyota,Corolla LE,2010,72348,Gasoline,132.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Gray,At least 1 accident or damage reported,Yes,9995,132.0,1.8,4.0,24.0,7.0,2,0,0,0,0,0,avg,3,131,73.33333333333333,13.999999999899956,1012871.999992762,5167.714285751214,1
Ford,F-250 XLT,2016,94300,E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Silver,Gray,At least 1 accident or damage reported,Yes,28999,385.0,6.2,8.0,24.0,6.0,1,1,5,6,2,4,avg,10,224,62.096774193548384,7.999999999899956,754399.9999905658,11787.500000147409,3
Jeep,Wrangler Sahara,2013,111850,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Black,At least 1 accident or damage reported,Yes,26500,285.0,3.6,6.0,24.0,7.0,3,3,4,12,9,1,avg,4,99,79.16666666666667,10.999999999899956,1230349.99998881,10168.181818274297,1
Audi,Q3 45 S line Premium,2022,9325,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Mythos Black Metallic,Black,None reported,No,33610,311.0,2.0,4.0,16.0,8.0,2,3,1,7,3,3,avg,1,139,155.5,1.9999999998999556,18649.999999067084,4662.500000233229,2
Tesla,Model 3 Base,2022,12080,Elétrico,271.0HP Electric Motor Electric Fuel System,A/T,Black,Black,None reported,Yes,36750,271.0,3.5,6.0,24.0,7.0,3,3,4,12,9,1,bom,1,47,77.42857142857143,1.9999999998999556,24159.999998791463,6040.000000302134,2
Cadillac,Escalade Platinum Edition,2012,160249,E85 Flex Fuel,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,Black,Black,None reported,Yes,12900,403.0,6.2,8.0,24.0,7.0,1,1,5,16,2,2,bom,1,77,65.0,11.999999999899956,1922987.999983968,13354.083333444667,0
Jeep,Gladiator Rubicon,2022,27300,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Green,Black,None reported,Yes,47500,285.0,3.6,6.0,24.0,7.0,3,3,4,12,9,1,bom,4,99,79.16666666666667,1.9999999998999556,54599.99999726879,13650.000000682803,2
BMW,M2 Base,2023,1160,Gasoline,453.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,Yes,73600,453.0,3.0,6.0,24.0,6.0,3,3,3,14,1,1,bom,1,297,151.0,0.9999999998999556,1159.9999998839485,1160.0000001160515,2
